Start date,Start time,End time,Subject
25/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
28/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
28/12/2020,11:45 AM,12:55 PM,11 CS
29/12/2020,7:55 AM,9:05 AM,Planning
29/12/2020,11:45 AM,12:55 PM,13 CS HL/SL
29/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
30/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
30/12/2020,1:50 PM,3:00 PM,11 CS
31/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
31/12/2020,9:10 AM,10:20 AM,12 CS HL
31/12/2020,1:50 PM,3:00 PM,13 CS HL/SL
1/01/2021,7:55 AM,9:05 AM,11 CS
1/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
4/01/2021,7:55 AM,9:05 AM,13 CS HL/SL
4/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
4/01/2021,11:45 AM,12:55 PM,12 CS HL
4/01/2021,1:50 PM,3:00 PM,Planning
5/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
5/01/2021,9:10 AM,10:20 AM,11 CS
5/01/2021,11:45 AM,12:55 PM,12 CS HL
6/01/2021,9:10 AM,10:20 AM,13 CS HL/SL
6/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
7/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
7/01/2021,11:45 AM,12:55 PM,11 CS
8/01/2021,7:55 AM,9:05 AM,Planning
8/01/2021,11:45 AM,12:55 PM,13 CS HL/SL
8/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
11/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
11/01/2021,1:50 PM,3:00 PM,11 CS
12/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
12/01/2021,9:10 AM,10:20 AM,12 CS HL
12/01/2021,1:50 PM,3:00 PM,13 CS HL/SL
13/01/2021,7:55 AM,9:05 AM,11 CS
13/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
14/01/2021,7:55 AM,9:05 AM,13 CS HL/SL
14/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
14/01/2021,11:45 AM,12:55 PM,12 CS HL
14/01/2021,1:50 PM,3:00 PM,Planning
15/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
15/01/2021,9:10 AM,10:20 AM,11 CS
15/01/2021,11:45 AM,12:55 PM,12 CS HL
18/01/2021,9:10 AM,10:20 AM,13 CS HL/SL
18/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
19/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
19/01/2021,11:45 AM,12:55 PM,11 CS
20/01/2021,7:55 AM,9:05 AM,Planning
20/01/2021,11:45 AM,12:55 PM,13 CS HL/SL
20/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
21/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
21/01/2021,1:50 PM,3:00 PM,11 CS
22/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
22/01/2021,9:10 AM,10:20 AM,12 CS HL
22/01/2021,1:50 PM,3:00 PM,13 CS HL/SL
25/01/2021,7:55 AM,9:05 AM,11 CS
25/01/2021,1:50 PM,3:00 PM,12 CS HL/SL
26/01/2021,7:55 AM,9:05 AM,13 CS HL/SL
26/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
26/01/2021,11:45 AM,12:55 PM,12 CS HL
26/01/2021,1:50 PM,3:00 PM,Planning
27/01/2021,7:55 AM,9:05 AM,12 CS HL/SL
27/01/2021,9:10 AM,10:20 AM,11 CS
27/01/2021,11:45 AM,12:55 PM,12 CS HL
28/01/2021,9:10 AM,10:20 AM,13 CS HL/SL
28/01/2021,11:45 AM,12:55 PM,12 CS HL/SL
29/01/2021,9:10 AM,10:20 AM,12 CS HL/SL
29/01/2021,11:45 AM,12:55 PM,11 CS
1/02/2021,7:55 AM,9:05 AM,Planning
1/02/2021,11:45 AM,12:55 PM,13 CS HL/SL
1/02/2021,1:50 PM,3:00 PM,12 CS HL/SL
2/02/2021,11:45 AM,12:55 PM,12 CS HL/SL
2/02/2021,1:50 PM,3:00 PM,11 CS
3/02/2021,7:55 AM,9:05 AM,12 CS HL/SL
3/02/2021,9:10 AM,10:20 AM,12 CS HL
3/02/2021,1:50 PM,3:00 PM,13 CS HL/SL
4/02/2021,7:55 AM,9:05 AM,11 CS
4/02/2021,1:50 PM,3:00 PM,12 CS HL/SL
5/02/2021,7:55 AM,9:05 AM,13 CS HL/SL
5/02/2021,9:10 AM,10:20 AM,12 CS HL/SL
5/02/2021,11:45 AM,12:55 PM,12 CS HL
5/02/2021,1:50 PM,3:00 PM,Planning
8/02/2021,7:55 AM,9:05 AM,12 CS HL/SL
8/02/2021,9:10 AM,10:20 AM,11 CS
8/02/2021,11:45 AM,12:55 PM,12 CS HL
9/02/2021,9:10 AM,10:20 AM,13 CS HL/SL
9/02/2021,11:45 AM,12:55 PM,12 CS HL/SL
10/02/2021,9:10 AM,10:20 AM,12 CS HL/SL
10/02/2021,11:45 AM,12:55 PM,11 CS
11/02/2021,7:55 AM,9:05 AM,Planning
11/02/2021,11:45 AM,12:55 PM,13 CS HL/SL
11/02/2021,1:50 PM,3:00 PM,12 CS HL/SL
12/02/2021,11:45 AM,12:55 PM,12 CS HL/SL
12/02/2021,1:50 PM,3:00 PM,11 CS
15/02/2021,7:55 AM,9:05 AM,12 CS HL/SL
15/02/2021,9:10 AM,10:20 AM,12 CS HL
15/02/2021,1:50 PM,3:00 PM,13 CS HL/SL
16/02/2021,7:55 AM,9:05 AM,11 CS
16/02/2021,1:50 PM,3:00 PM,12 CS HL/SL
17/02/2021,7:55 AM,9:05 AM,13 CS HL/SL
17/02/2021,9:10 AM,10:20 AM,12 CS HL/SL
17/02/2021,11:45 AM,12:55 PM,12 CS HL
17/02/2021,1:50 PM,3:00 PM,Planning
18/02/2021,7:55 AM,9:05 AM,12 CS HL/SL
18/02/2021,9:10 AM,10:20 AM,11 CS
18/02/2021,11:45 AM,12:55 PM,12 CS HL
19/02/2021,9:10 AM,10:20 AM,13 CS HL/SL
19/02/2021,11:45 AM,12:55 PM,12 CS HL/SL
22/02/2021,9:10 AM,10:20 AM,12 CS HL/SL
22/02/2021,11:45 AM,12:55 PM,11 CS
23/02/2021,7:55 AM,9:05 AM,Planning
23/02/2021,11:45 AM,12:55 PM,13 CS HL/SL
23/02/2021,1:50 PM,3:00 PM,12 CS HL/SL
24/02/2021,11:45 AM,12:55 PM,12 CS HL/SL
24/02/2021,1:50 PM,3:00 PM,11 CS
25/02/2021,7:55 AM,9:05 AM,12 CS HL/SL
25/02/2021,9:10 AM,10:20 AM,12 CS HL
25/02/2021,1:50 PM,3:00 PM,13 CS HL/SL
26/02/2021,7:55 AM,9:05 AM,11 CS
26/02/2021,1:50 PM,3:00 PM,12 CS HL/SL
1/03/2021,7:55 AM,9:05 AM,13 CS HL/SL
1/03/2021,9:10 AM,10:20 AM,12 CS HL/SL
1/03/2021,11:45 AM,12:55 PM,12 CS HL
1/03/2021,1:50 PM,3:00 PM,Planning
2/03/2021,7:55 AM,9:05 AM,12 CS HL/SL
2/03/2021,9:10 AM,10:20 AM,11 CS
2/03/2021,11:45 AM,12:55 PM,12 CS HL
3/03/2021,9:10 AM,10:20 AM,13 CS HL/SL
3/03/2021,11:45 AM,12:55 PM,12 CS HL/SL
4/03/2021,9:10 AM,10:20 AM,12 CS HL/SL
4/03/2021,11:45 AM,12:55 PM,11 CS
5/03/2021,7:55 AM,9:05 AM,Planning
5/03/2021,11:45 AM,12:55 PM,13 CS HL/SL
5/03/2021,1:50 PM,3:00 PM,12 CS HL/SL
8/03/2021,11:45 AM,12:55 PM,12 CS HL/SL
8/03/2021,1:50 PM,3:00 PM,11 CS
9/03/2021,7:55 AM,9:05 AM,12 CS HL/SL
9/03/2021,9:10 AM,10:20 AM,12 CS HL
9/03/2021,1:50 PM,3:00 PM,13 CS HL/SL
10/03/2021,7:55 AM,9:05 AM,11 CS
10/03/2021,1:50 PM,3:00 PM,12 CS HL/SL
11/03/2021,7:55 AM,9:05 AM,13 CS HL/SL
11/03/2021,9:10 AM,10:20 AM,12 CS HL/SL
11/03/2021,11:45 AM,12:55 PM,12 CS HL
11/03/2021,1:50 PM,3:00 PM,Planning
12/03/2021,7:55 AM,9:05 AM,12 CS HL/SL
12/03/2021,9:10 AM,10:20 AM,11 CS
12/03/2021,11:45 AM,12:55 PM,12 CS HL
15/03/2021,9:10 AM,10:20 AM,13 CS HL/SL
15/03/2021,11:45 AM,12:55 PM,12 CS HL/SL
16/03/2021,9:10 AM,10:20 AM,12 CS HL/SL
16/03/2021,11:45 AM,12:55 PM,11 CS
17/03/2021,7:55 AM,9:05 AM,Planning
17/03/2021,11:45 AM,12:55 PM,13 CS HL/SL
17/03/2021,1:50 PM,3:00 PM,12 CS HL/SL
18/03/2021,11:45 AM,12:55 PM,12 CS HL/SL
18/03/2021,1:50 PM,3:00 PM,11 CS
19/03/2021,7:55 AM,9:05 AM,12 CS HL/SL
19/03/2021,9:10 AM,10:20 AM,12 CS HL
19/03/2021,1:50 PM,3:00 PM,13 CS HL/SL
